run_id,condition,app,rep,overall_precision,overall_recall,overall_f1,num_turns,tool_calls,duration_s,model_s,tool_s,other_s,input_tokens,cache_creation_tokens,cache_read_tokens,effective_input_tokens,output_tokens,effective_tokens
official_faulty_baseline,baseline,WebTestBench_0001,avg,"=IFERROR(AVERAGE(E2:E11),"""")","=IFERROR(AVERAGE(F2:F11),"""")","=IFERROR(AVERAGE(G2:G11),"""")","=IFERROR(AVERAGE(H2:H11),"""")","=IFERROR(AVERAGE(I2:I11),"""")","=IFERROR(AVERAGE(J2:J11),"""")","=IFERROR(AVERAGE(K2:K11),"""")","=IFERROR(AVERAGE(L2:L11),"""")","=IFERROR(AVERAGE(M2:M11),"""")","=IFERROR(AVERAGE(N2:N11),"""")","=IFERROR(AVERAGE(O2:O11),"""")","=IFERROR(AVERAGE(P2:P11),"""")","=IFERROR(AVERAGE(Q2:Q11),"""")","=IFERROR(AVERAGE(R2:R11),"""")","=IFERROR(AVERAGE(S2:S11),"""")"
official_faulty_baseline,baseline,WebTestBench_0001,± 95% CI,"=IFERROR(CONFIDENCE.T(0.05,STDEV(E2:E11),COUNT(E2:E11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(F2:F11),COUNT(F2:F11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(G2:G11),COUNT(G2:G11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(H2:H11),COUNT(H2:H11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(I2:I11),COUNT(I2:I11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(J2:J11),COUNT(J2:J11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(K2:K11),COUNT(K2:K11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(L2:L11),COUNT(L2:L11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(M2:M11),COUNT(M2:M11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(N2:N11),COUNT(N2:N11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(O2:O11),COUNT(O2:O11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(P2:P11),COUNT(P2:P11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(Q2:Q11),COUNT(Q2:Q11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(R2:R11),COUNT(R2:R11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(S2:S11),COUNT(S2:S11)),0)"
official_faulty_baseline,baseline,WebTestBench_0003,1,0.6667,0.6667,0.6667,99,98,223.0,166.6,30.3,26.1,173,109939,4989552,"=IF(COUNT(N14,O14,P14)=0,"""",N14+O14*2+P14*0.1)",14603,"=IF(COUNT(Q14,R14)=0,"""",Q14+R14*3)"
official_faulty_baseline,baseline,WebTestBench_0003,2,0.6667,0.6667,0.6667,85,84,194.5,136.1,28.9,29.5,147,88923,3267848,"=IF(COUNT(N15,O15,P15)=0,"""",N15+O15*2+P15*0.1)",12343,"=IF(COUNT(Q15,R15)=0,"""",Q15+R15*3)"
official_faulty_baseline,baseline,WebTestBench_0003,3,0.6667,0.6667,0.6667,91,90,214.5,158.7,28.7,27.1,159,101401,3964111,"=IF(COUNT(N16,O16,P16)=0,"""",N16+O16*2+P16*0.1)",13702,"=IF(COUNT(Q16,R16)=0,"""",Q16+R16*3)"
official_faulty_baseline,baseline,WebTestBench_0003,4,0.6667,0.6667,0.6667,103,102,297.8,246.8,30.3,20.7,165,126315,4125309,"=IF(COUNT(N17,O17,P17)=0,"""",N17+O17*2+P17*0.1)",14269,"=IF(COUNT(Q17,R17)=0,"""",Q17+R17*3)"
official_faulty_baseline,baseline,WebTestBench_0003,5,0.6667,0.6667,0.6667,100,99,221.3,163.6,30.1,27.6,177,107326,4971463,"=IF(COUNT(N18,O18,P18)=0,"""",N18+O18*2+P18*0.1)",13010,"=IF(COUNT(Q18,R18)=0,"""",Q18+R18*3)"
official_faulty_baseline,baseline,WebTestBench_0003,6,0.5,0.6667,0.5714,78,77,193.0,146.0,23.2,23.8,127,32546,2754569,"=IF(COUNT(N19,O19,P19)=0,"""",N19+O19*2+P19*0.1)",12421,"=IF(COUNT(Q19,R19)=0,"""",Q19+R19*3)"
official_faulty_baseline,baseline,WebTestBench_0003,7,0.5,0.6667,0.5714,111,110,241.8,187.2,32.1,22.5,191,101127,4958765,"=IF(COUNT(N20,O20,P20)=0,"""",N20+O20*2+P20*0.1)",15924,"=IF(COUNT(Q20,R20)=0,"""",Q20+R20*3)"
official_faulty_baseline,baseline,WebTestBench_0003,8,0.5,0.6667,0.5714,115,114,289.1,217.9,38.4,32.8,207,111193,5809939,"=IF(COUNT(N21,O21,P21)=0,"""",N21+O21*2+P21*0.1)",17856,"=IF(COUNT(Q21,R21)=0,"""",Q21+R21*3)"
official_faulty_baseline,baseline,WebTestBench_0003,9,0.6667,0.6667,0.6667,81,80,177.2,134.0,24.9,18.3,131,86210,2651717,"=IF(COUNT(N22,O22,P22)=0,"""",N22+O22*2+P22*0.1)",11680,"=IF(COUNT(Q22,R22)=0,"""",Q22+R22*3)"
official_faulty_baseline,baseline,WebTestBench_0003,10,0.6667,0.6667,0.6667,98,97,219.0,165.6,30.9,22.5,181,104904,5058600,"=IF(COUNT(N23,O23,P23)=0,"""",N23+O23*2+P23*0.1)",13539,"=IF(COUNT(Q23,R23)=0,"""",Q23+R23*3)"
official_faulty_baseline,baseline,WebTestBench_0003,avg,"=IFERROR(AVERAGE(E14:E23),"""")","=IFERROR(AVERAGE(F14:F23),"""")","=IFERROR(AVERAGE(G14:G23),"""")","=IFERROR(AVERAGE(H14:H23),"""")","=IFERROR(AVERAGE(I14:I23),"""")","=IFERROR(AVERAGE(J14:J23),"""")","=IFERROR(AVERAGE(K14:K23),"""")","=IFERROR(AVERAGE(L14:L23),"""")","=IFERROR(AVERAGE(M14:M23),"""")","=IFERROR(AVERAGE(N14:N23),"""")","=IFERROR(AVERAGE(O14:O23),"""")","=IFERROR(AVERAGE(P14:P23),"""")","=IFERROR(AVERAGE(Q14:Q23),"""")","=IFERROR(AVERAGE(R14:R23),"""")","=IFERROR(AVERAGE(S14:S23),"""")"
official_faulty_baseline,baseline,WebTestBench_0003,± 95% CI,"=IFERROR(CONFIDENCE.T(0.05,STDEV(E14:E23),COUNT(E14:E23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(F14:F23),COUNT(F14:F23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(G14:G23),COUNT(G14:G23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(H14:H23),COUNT(H14:H23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(I14:I23),COUNT(I14:I23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(J14:J23),COUNT(J14:J23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(K14:K23),COUNT(K14:K23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(L14:L23),COUNT(L14:L23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(M14:M23),COUNT(M14:M23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(N14:N23),COUNT(N14:N23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(O14:O23),COUNT(O14:O23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(P14:P23),COUNT(P14:P23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(Q14:Q23),COUNT(Q14:Q23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(R14:R23),COUNT(R14:R23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(S14:S23),COUNT(S14:S23)),0)"
official_faulty_baseline,baseline,WebTestBench_0004,1,1.0,0.5714,0.7273,83,82,189.0,142.7,26.9,19.4,137,104676,3075110,"=IF(COUNT(N26,O26,P26)=0,"""",N26+O26*2+P26*0.1)",12307,"=IF(COUNT(Q26,R26)=0,"""",Q26+R26*3)"
official_faulty_baseline,baseline,WebTestBench_0004,2,1.0,0.5714,0.7273,97,96,223.7,175.4,31.7,16.6,165,121725,4458497,"=IF(COUNT(N27,O27,P27)=0,"""",N27+O27*2+P27*0.1)",13578,"=IF(COUNT(Q27,R27)=0,"""",Q27+R27*3)"
official_faulty_baseline,baseline,WebTestBench_0004,3,1.0,0.5714,0.7273,94,93,201.1,155.2,28.9,17.0,167,112095,4167584,"=IF(COUNT(N28,O28,P28)=0,"""",N28+O28*2+P28*0.1)",12405,"=IF(COUNT(Q28,R28)=0,"""",Q28+R28*3)"
official_faulty_baseline,baseline,WebTestBench_0004,4,1.0,0.5714,0.7273,90,89,199.8,152.1,28.6,19.1,159,107821,3860948,"=IF(COUNT(N29,O29,P29)=0,"""",N29+O29*2+P29*0.1)",12561,"=IF(COUNT(Q29,R29)=0,"""",Q29+R29*3)"
official_faulty_baseline,baseline,WebTestBench_0004,5,1.0,0.5714,0.7273,90,89,204.3,160.1,27.1,17.1,159,106286,3788757,"=IF(COUNT(N30,O30,P30)=0,"""",N30+O30*2+P30*0.1)",13127,"=IF(COUNT(Q30,R30)=0,"""",Q30+R30*3)"
official_faulty_baseline,baseline,WebTestBench_0004,6,1.0,0.5714,0.7273,102,101,247.5,202.4,31.6,13.5,177,110896,5061009,"=IF(COUNT(N31,O31,P31)=0,"""",N31+O31*2+P31*0.1)",15182,"=IF(COUNT(Q31,R31)=0,"""",Q31+R31*3)"
official_faulty_baseline,baseline,WebTestBench_0004,7,1.0,0.5714,0.7273,95,94,295.3,239.7,31.9,23.7,173,119268,4720310,"=IF(COUNT(N32,O32,P32)=0,"""",N32+O32*2+P32*0.1)",13082,"=IF(COUNT(Q32,R32)=0,"""",Q32+R32*3)"
official_faulty_baseline,baseline,WebTestBench_0004,8,1.0,0.5714,0.7273,95,94,218.6,170.5,31.5,16.6,161,124542,4409349,"=IF(COUNT(N33,O33,P33)=0,"""",N33+O33*2+P33*0.1)",13369,"=IF(COUNT(Q33,R33)=0,"""",Q33+R33*3)"
official_faulty_baseline,baseline,WebTestBench_0004,9,1.0,0.5714,0.7273,105,104,360.3,308.8,35.0,16.5,181,126141,5112796,"=IF(COUNT(N34,O34,P34)=0,"""",N34+O34*2+P34*0.1)",14830,"=IF(COUNT(Q34,R34)=0,"""",Q34+R34*3)"
official_faulty_baseline,baseline,WebTestBench_0004,10,1.0,0.5714,0.7273,89,88,201.2,159.9,27.8,13.5,149,111031,3714837,"=IF(COUNT(N35,O35,P35)=0,"""",N35+O35*2+P35*0.1)",12777,"=IF(COUNT(Q35,R35)=0,"""",Q35+R35*3)"
official_faulty_baseline,baseline,WebTestBench_0004,avg,"=IFERROR(AVERAGE(E26:E35),"""")","=IFERROR(AVERAGE(F26:F35),"""")","=IFERROR(AVERAGE(G26:G35),"""")","=IFERROR(AVERAGE(H26:H35),"""")","=IFERROR(AVERAGE(I26:I35),"""")","=IFERROR(AVERAGE(J26:J35),"""")","=IFERROR(AVERAGE(K26:K35),"""")","=IFERROR(AVERAGE(L26:L35),"""")","=IFERROR(AVERAGE(M26:M35),"""")","=IFERROR(AVERAGE(N26:N35),"""")","=IFERROR(AVERAGE(O26:O35),"""")","=IFERROR(AVERAGE(P26:P35),"""")","=IFERROR(AVERAGE(Q26:Q35),"""")","=IFERROR(AVERAGE(R26:R35),"""")","=IFERROR(AVERAGE(S26:S35),"""")"
official_faulty_baseline,baseline,WebTestBench_0004,± 95% CI,"=IFERROR(CONFIDENCE.T(0.05,STDEV(E26:E35),COUNT(E26:E35)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(F26:F35),COUNT(F26:F35)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(G26:G35),COUNT(G26:G35)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(H26:H35),COUNT(H26:H35)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(I26:I35),COUNT(I26:I35)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(J26:J35),COUNT(J26:J35)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(K26:K35),COUNT(K26:K35)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(L26:L35),COUNT(L26:L35)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(M26:M35),COUNT(M26:M35)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(N26:N35),COUNT(N26:N35)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(O26:O35),COUNT(O26:O35)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(P26:P35),COUNT(P26:P35)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(Q26:Q35),COUNT(Q26:Q35)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(R26:R35),COUNT(R26:R35)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(S26:S35),COUNT(S26:S35)),0)"
official_faulty_baseline,baseline,WebTestBench_0005,1,1.0,0.5,0.6667,119,118,310.1,254.5,35.0,20.6,203,114770,5553204,"=IF(COUNT(N38,O38,P38)=0,"""",N38+O38*2+P38*0.1)",21083,"=IF(COUNT(Q38,R38)=0,"""",Q38+R38*3)"
official_faulty_baseline,baseline,WebTestBench_0005,2,1.0,0.3333,0.5,125,124,271.9,219.9,34.1,17.9,219,111018,5983272,"=IF(COUNT(N39,O39,P39)=0,"""",N39+O39*2+P39*0.1)",16702,"=IF(COUNT(Q39,R39)=0,"""",Q39+R39*3)"
official_faulty_baseline,baseline,WebTestBench_0005,3,1.0,0.5,0.6667,116,115,254.7,206.8,35.2,12.7,197,107553,5125087,"=IF(COUNT(N40,O40,P40)=0,"""",N40+O40*2+P40*0.1)",16158,"=IF(COUNT(Q40,R40)=0,"""",Q40+R40*3)"
official_faulty_baseline,baseline,WebTestBench_0005,4,1.0,0.5,0.6667,118,117,283.7,225.4,32.7,25.6,205,100450,5024403,"=IF(COUNT(N41,O41,P41)=0,"""",N41+O41*2+P41*0.1)",18728,"=IF(COUNT(Q41,R41)=0,"""",Q41+R41*3)"
official_faulty_baseline,baseline,WebTestBench_0005,5,1.0,0.5,0.6667,108,107,259.8,214.3,28.9,16.6,183,101279,4484217,"=IF(COUNT(N42,O42,P42)=0,"""",N42+O42*2+P42*0.1)",17422,"=IF(COUNT(Q42,R42)=0,"""",Q42+R42*3)"
official_faulty_baseline,baseline,WebTestBench_0005,6,1.0,0.3333,0.5,128,127,286.6,236.4,35.2,15.0,221,118249,6153890,"=IF(COUNT(N43,O43,P43)=0,"""",N43+O43*2+P43*0.1)",17791,"=IF(COUNT(Q43,R43)=0,"""",Q43+R43*3)"
official_faulty_baseline,baseline,WebTestBench_0005,7,1.0,0.5,0.6667,121,120,356.4,298.3,35.6,22.5,211,109039,5714422,"=IF(COUNT(N44,O44,P44)=0,"""",N44+O44*2+P44*0.1)",16441,"=IF(COUNT(Q44,R44)=0,"""",Q44+R44*3)"
official_faulty_baseline,baseline,WebTestBench_0005,8,1.0,0.5,0.6667,116,115,255.1,210.5,30.2,14.4,195,101594,4459251,"=IF(COUNT(N45,O45,P45)=0,"""",N45+O45*2+P45*0.1)",16985,"=IF(COUNT(Q45,R45)=0,"""",Q45+R45*3)"
official_faulty_baseline,baseline,WebTestBench_0005,9,1.0,0.5,0.6667,120,119,389.6,329.7,32.8,27.1,217,114321,6065306,"=IF(COUNT(N46,O46,P46)=0,"""",N46+O46*2+P46*0.1)",18496,"=IF(COUNT(Q46,R46)=0,"""",Q46+R46*3)"
official_faulty_baseline,baseline,WebTestBench_0005,10,1.0,0.5,0.6667,125,124,280.8,228.5,34.8,17.5,215,109637,5478472,"=IF(COUNT(N47,O47,P47)=0,"""",N47+O47*2+P47*0.1)",18751,"=IF(COUNT(Q47,R47)=0,"""",Q47+R47*3)"
official_faulty_baseline,baseline,WebTestBench_0005,avg,"=IFERROR(AVERAGE(E38:E47),"""")","=IFERROR(AVERAGE(F38:F47),"""")","=IFERROR(AVERAGE(G38:G47),"""")","=IFERROR(AVERAGE(H38:H47),"""")","=IFERROR(AVERAGE(I38:I47),"""")","=IFERROR(AVERAGE(J38:J47),"""")","=IFERROR(AVERAGE(K38:K47),"""")","=IFERROR(AVERAGE(L38:L47),"""")","=IFERROR(AVERAGE(M38:M47),"""")","=IFERROR(AVERAGE(N38:N47),"""")","=IFERROR(AVERAGE(O38:O47),"""")","=IFERROR(AVERAGE(P38:P47),"""")","=IFERROR(AVERAGE(Q38:Q47),"""")","=IFERROR(AVERAGE(R38:R47),"""")","=IFERROR(AVERAGE(S38:S47),"""")"
official_faulty_baseline,baseline,WebTestBench_0005,± 95% CI,"=IFERROR(CONFIDENCE.T(0.05,STDEV(E38:E47),COUNT(E38:E47)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(F38:F47),COUNT(F38:F47)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(G38:G47),COUNT(G38:G47)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(H38:H47),COUNT(H38:H47)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(I38:I47),COUNT(I38:I47)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(J38:J47),COUNT(J38:J47)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(K38:K47),COUNT(K38:K47)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(L38:L47),COUNT(L38:L47)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(M38:M47),COUNT(M38:M47)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(N38:N47),COUNT(N38:N47)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(O38:O47),COUNT(O38:O47)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(P38:P47),COUNT(P38:P47)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(Q38:Q47),COUNT(Q38:Q47)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(R38:R47),COUNT(R38:R47)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(S38:S47),COUNT(S38:S47)),0)"
official_faulty_baseline,baseline,WebTestBench_0006,1,1.0,0.3333,0.5,131,129,395.9,236.4,47.1,112.4,219,272977,8474046,"=IF(COUNT(N50,O50,P50)=0,"""",N50+O50*2+P50*0.1)",20437,"=IF(COUNT(Q50,R50)=0,"""",Q50+R50*3)"
official_faulty_baseline,baseline,WebTestBench_0006,2,1.0,0.3333,0.5,93,92,199.7,143.7,30.3,25.7,145,138166,5223692,"=IF(COUNT(N51,O51,P51)=0,"""",N51+O51*2+P51*0.1)",12565,"=IF(COUNT(Q51,R51)=0,"""",Q51+R51*3)"
official_faulty_baseline,baseline,WebTestBench_0006,3,1.0,0.3333,0.5,87,86,318.9,270.0,29.1,19.8,137,144733,5483363,"=IF(COUNT(N52,O52,P52)=0,"""",N52+O52*2+P52*0.1)",15097,"=IF(COUNT(Q52,R52)=0,"""",Q52+R52*3)"
official_faulty_baseline,baseline,WebTestBench_0006,4,0.6667,0.3333,0.4444,131,129,397.4,244.1,47.7,105.6,221,245785,8480151,"=IF(COUNT(N53,O53,P53)=0,"""",N53+O53*2+P53*0.1)",20401,"=IF(COUNT(Q53,R53)=0,"""",Q53+R53*3)"
official_faulty_baseline,baseline,WebTestBench_0006,5,1.0,0.3333,0.5,97,96,372.4,326.9,31.8,13.7,157,158169,6835629,"=IF(COUNT(N54,O54,P54)=0,"""",N54+O54*2+P54*0.1)",16427,"=IF(COUNT(Q54,R54)=0,"""",Q54+R54*3)"
official_faulty_baseline,baseline,WebTestBench_0006,6,0.5,0.3333,0.4,126,124,394.0,252.6,43.9,97.5,209,233130,7336092,"=IF(COUNT(N55,O55,P55)=0,"""",N55+O55*2+P55*0.1)",21083,"=IF(COUNT(Q55,R55)=0,"""",Q55+R55*3)"
official_faulty_baseline,baseline,WebTestBench_0006,7,0.75,0.5,0.6,115,113,435.0,312.6,33.2,89.2,161,197269,6147246,"=IF(COUNT(N56,O56,P56)=0,"""",N56+O56*2+P56*0.1)",18169,"=IF(COUNT(Q56,R56)=0,"""",Q56+R56*3)"
official_faulty_baseline,baseline,WebTestBench_0006,8,0.6667,0.3333,0.4444,94,93,235.3,184.2,32.5,18.6,153,155920,6813285,"=IF(COUNT(N57,O57,P57)=0,"""",N57+O57*2+P57*0.1)",15485,"=IF(COUNT(Q57,R57)=0,"""",Q57+R57*3)"
official_faulty_baseline,baseline,WebTestBench_0006,9,0.75,0.5,0.6,162,160,440.1,290.4,54.5,95.2,275,304862,10861497,"=IF(COUNT(N58,O58,P58)=0,"""",N58+O58*2+P58*0.1)",22580,"=IF(COUNT(Q58,R58)=0,"""",Q58+R58*3)"
official_faulty_baseline,baseline,WebTestBench_0006,10,1.0,0.3333,0.5,125,123,351.0,205.6,44.4,101.0,205,251062,7438424,"=IF(COUNT(N59,O59,P59)=0,"""",N59+O59*2+P59*0.1)",17061,"=IF(COUNT(Q59,R59)=0,"""",Q59+R59*3)"
official_faulty_baseline,baseline,WebTestBench_0006,avg,"=IFERROR(AVERAGE(E50:E59),"""")","=IFERROR(AVERAGE(F50:F59),"""")","=IFERROR(AVERAGE(G50:G59),"""")","=IFERROR(AVERAGE(H50:H59),"""")","=IFERROR(AVERAGE(I50:I59),"""")","=IFERROR(AVERAGE(J50:J59),"""")","=IFERROR(AVERAGE(K50:K59),"""")","=IFERROR(AVERAGE(L50:L59),"""")","=IFERROR(AVERAGE(M50:M59),"""")","=IFERROR(AVERAGE(N50:N59),"""")","=IFERROR(AVERAGE(O50:O59),"""")","=IFERROR(AVERAGE(P50:P59),"""")","=IFERROR(AVERAGE(Q50:Q59),"""")","=IFERROR(AVERAGE(R50:R59),"""")","=IFERROR(AVERAGE(S50:S59),"""")"
official_faulty_baseline,baseline,WebTestBench_0006,± 95% CI,"=IFERROR(CONFIDENCE.T(0.05,STDEV(E50:E59),COUNT(E50:E59)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(F50:F59),COUNT(F50:F59)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(G50:G59),COUNT(G50:G59)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(H50:H59),COUNT(H50:H59)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(I50:I59),COUNT(I50:I59)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(J50:J59),COUNT(J50:J59)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(K50:K59),COUNT(K50:K59)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(L50:L59),COUNT(L50:L59)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(M50:M59),COUNT(M50:M59)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(N50:N59),COUNT(N50:N59)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(O50:O59),COUNT(O50:O59)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(P50:P59),COUNT(P50:P59)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(Q50:Q59),COUNT(Q50:Q59)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(R50:R59),COUNT(R50:R59)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(S50:S59),COUNT(S50:S59)),0)"
official_faulty_baseline,baseline,WebTestBench_0010,1,0.6,0.375,0.4615,104,103,257.9,216.0,31.6,10.3,179,104064,4526792,"=IF(COUNT(N62,O62,P62)=0,"""",N62+O62*2+P62*0.1)",17031,"=IF(COUNT(Q62,R62)=0,"""",Q62+R62*3)"
official_faulty_baseline,baseline,WebTestBench_0010,2,0.6667,0.5,0.5714,102,101,278.0,230.9,32.9,14.2,173,110493,4511298,"=IF(COUNT(N63,O63,P63)=0,"""",N63+O63*2+P63*0.1)",18607,"=IF(COUNT(Q63,R63)=0,"""",Q63+R63*3)"
official_faulty_baseline,baseline,WebTestBench_0010,3,0.6667,0.25,0.3636,102,101,328.5,268.4,31.7,28.4,183,104187,5009898,"=IF(COUNT(N64,O64,P64)=0,"""",N64+O64*2+P64*0.1)",15493,"=IF(COUNT(Q64,R64)=0,"""",Q64+R64*3)"
official_faulty_baseline,baseline,WebTestBench_0010,4,0.6,0.375,0.4615,101,100,255.1,207.3,29.4,18.4,181,114576,5069461,"=IF(COUNT(N65,O65,P65)=0,"""",N65+O65*2+P65*0.1)",16602,"=IF(COUNT(Q65,R65)=0,"""",Q65+R65*3)"
